Itemid,Itemcode,Itemname,Price,Category1,Category2,Category3,Category4,Brand,SoldQuantity,TotalAmount
24288,40247,,382.42,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,297,13555.05
26425,42280,,66.39,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,CAM SU BARDAGI,PASA BAHCE,297,10829.29
4788,17680,A5 GUZELYAZI DEFTERI KLAVUZ CIZGILI,119.22,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,294,3701.21
4180,9450,MAGNUM KALEM UCU 120LI,38.48,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,290,6987.84
18826,33250,,121.86,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,289,28670.77
7873,7019,SERVE 0.7 UÇ+FOSFORLU KALEM,26.07,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,KIRTASIYELER,288,5227.96
2730,8490,,20.01,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,287,32106.56
16562,30373,,3.85,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,287,8621.04
14627,26670,,8.87,EV,TEKSTIL-GIYIM-AKSESUAR,CORAPLAR,BAYAN CORAP,PENTI,287,5285.56
7329,13842,,130.28,EV,MUTFAK GERECLERI,MUTFAK ESYA-GERECLERI,FIRIN KABI VE TEPSILERI,PASA BAHCE,286,8455.02
17559,27871,KITAP BAG.CAGIR. DOV.COCUK TERBIYESI ,8.96,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,KITAPLAR,285,13250.99
23710,21356,,8.02,EV,TEKSTIL-GIYIM-AKSESUAR,CAMASIRLAR,ERKEK CAMASIR,JIBER,284,8427.67
354,926,,81.84,EV,ELEKTRIK-ELEKTRONIK,PIL,KALEM PILLER,KODAK,283,17685.52
5521,6208,,11.49,EV,TEKSTIL-GIYIM-AKSESUAR,AYAKKABI-TERLIK,AYAK GIYIM,GEZER,281,13537.31
