Brand,Category1,TotalAmount,SoldQuantity
GEZER,EV,16947442,237500
KITAPLAR,EV,15335423,466794
KIRTASIYELER,EV,13028668,532018
PASA BAHCE,EV,5074570,70818
NIVEA,KOZMETIK,2810066,25261
GILLETTE,KOZMETIK,1972138,14332
ARZUM,EV,1394157,1854
TUTKU,EV,1390403,33109
COLGATE,KOZMETIK,1185668,16953
KOLESTON,KOZMETIK,1142240,14576
NAMALDI,EV,1135431,18698
PENTI,EV,1073477,34499
ORAL B,KOZMETIK,1044690,7884
PREMIER,EV,960038,2590
SEBAMED,KOZMETIK,893925,4296
DURU,KOZMETIK,844641,19505
CEM,EV,839915,5261
SENSODYNE,KOZMETIK,822700,8209
PALETTE,KOZMETIK,818034,10482
DIADERMINE,KOZMETIK,804763,5241
GURAL,EV,783319,14935
ARKO,KOZMETIK,773286,14016
PANTENE,KOZMETIK,742072,13039
GARNIER ,KOZMETIK,724352,7755
DOVE,KOZMETIK,701622,12507
GUNSAN,EV,697358,7866
PIKNIK,EV,689094,28954
NEUTROGENA,KOZMETIK,652316,5576
JIBER,EV,603162,16037
M.ORIGINAL,EV,592738,9876
H&SHOULDERS,KOZMETIK,586612,9110
OYUNCAK,OYUNCAK,573039,4002
ELSEVE,KOZMETIK,565357,6418
HOBBY,KOZMETIK,564361,11300
EXCELLENCE,KOZMETIK,557958,4251
TAFT,KOZMETIK,555253,5239
ELIDOR,KOZMETIK,553712,10154
IPANA,KOZMETIK,547901,8626
BORA,EV,539040,13502
REXONA,KOZMETIK,523438,6689
SHE,KOZMETIK,523277,4853
SESU,KOZMETIK,498456,5742
KUTAHYA,EV,491766,2548
DERGILER,EV,484657,11351
REBUL,KOZMETIK,480617,4402
PASTEL,KOZMETIK,470567,14956
BIOBLAS,KOZMETIK,434312,5955
EMOTION,KOZMETIK,434026,3548
PENGUEN,EV,430706,4532
CARPEX,EV,421234,8173
EVEREST,EV,414335,5264
COOK,EV,403324,11230
JAGLER,KOZMETIK,400565,4109
SIGNAL,KOZMETIK,393286,7717
CLEAR,KOZMETIK,385142,5711
FA,KOZMETIK,377835,5658
SALON,KOZMETIK,355211,9776
GLISS,KOZMETIK,351057,4859
PALM,KOZMETIK,336538,6833
DALAN,KOZMETIK,335514,8301
BANAT,KOZMETIK,334584,5951
PAREX,EV,322871,8282
CALDION,KOZMETIK,314925,2300
HSAKIR,KOZMETIK,311237,8785
ADIDAS,KOZMETIK,304183,5728
DURACELL,EV,303598,4918
BLENDAX,KOZMETIK,299318,6960
KODAK,EV,299062,4145
GURALLAR,EV,291595,6162
PRIVACY,KOZMETIK,282283,1809
8X4,KOZMETIK,281741,5468
BLADE,KOZMETIK,276934,1722
