Itemname,Brand,Category1,Category2,Category3,Category4,Price,SoldQuantity,TotalAmount
"""BINGO DINAMIC B.MAK.TAB.8 IN 1 30 LU *5*",BINGO,DETERJAN,BULASIK YIKAMA,BULASIK MAKINASI URUNLERI,TABLET,33.59,4,134.36
"""CANTA BOY KURAN I  KERIM",KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,50.73,120,4653.76
..ACE GENTILE SIHIRLI RENK.1 KG *10*,ACE,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,4.84,6,29.04
"0,7 VERSATIL KALEM              ",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,8.46,148,898.79
"0,7 VERSATIL KALEM              ",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,21.91,161,1034.11
"0,7 VERSATİL KALEM              ",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,6.85,139,1607.17
"0,7 VERSATİL KALEM              ",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,19.96,169,1215.47
"0,7 VERSATİL KALEM              ",KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,64.09,178,2768.67
004  VETAS KÜP BLOKNOT BÜYÜK BOY,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,15.19,165,2923.20
0225 MİNİ ZIMBA MAKINASI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,93.12,170,3440.73
0232 DEV BOY STICKER  ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,35.71,146,3212.16
025-9 ARK CIZIM SETI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,81.39,141,3346.03
0593 STICKER  ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,28.69,177,3220.72
1.SINIF OKUMA KITAPLARI-10 KITAP ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,10.53,197,1665.16
10 LU KUTULU CD,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,28.51,156,5910.40
10 LU KUTULU DVD,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,118.68,172,15594.08
10 LU POSET DOSYA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,17.47,136,1795.40
100 % KENDINIZ OLUN / CEP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,18.94,167,2536.03
100 OSMANLI BUYUGU ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,43.07,166,6012.88
100 TEMEL ESER OZETLERI  / PANAMA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,40.34,137,4418.26
100 TEMEL ESER OZETLERI/ LIYA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,62.99,177,5527.22
100 YAP.KARELI LISE,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,261.41,160,1893.42
103 MARLA KALEMLIK CIFTLI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,18.57,181,7941.28
104 MARLA KALEMLIK CIFTLI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,333.42,242,12888.94
106 MARLA KALEMLIK CIFTLI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,55.09,165,6726.35
107 UCLU MINI SAKLAMA KABI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,26.34,138,2748.33
10x15 DIKISLI BLOKNOT A6/1,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,56.79,166,1899.38
10x15 DIKISLI BLOKNOT A6/1,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,58.28,196,2118.35
115 ZIPIR DARKNESS MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,19.24,172,3055.22
115 ZIPIR NISA MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,35.88,178,4047.94
120 YAP.CIZGILI H.METOD,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,24.31,164,1306.22
120 YAPRAK SP.KARE P.P DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,110.03,255,2686.06
1200 TEMAT DELGEC PERFERATOR,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,426.70,188,58763.81
121B LUKS RENKLI MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,29.86,157,3046.67
13. KABILENIN SIRRI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,85.09,196,5222.89
1318 GRIPMATIC FABER VERSATIL,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,6.20,172,1075.70
1319 GRIPMATIC FABER VERSATIL,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,127.35,142,1222.89
1338 FABER VERSATIL 05,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,120.84,221,6806.86
1338 FABER VERSATIL 07,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,70.29,246,1875.70
139 LUKS OVAL NISA MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,101.19,142,4552.12
140S EDDING ASETAT KLM MAVI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,23.03,115,826.56
1420 FABER TECHPOINT TÜKENMEZ ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,14.33,182,2019.60
1425 FABER TÜKENMEZ KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,11.85,198,1763.70
1425 FABER TÜKENMEZ KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,12.10,150,1361.77
1425 FABER TÜKENMEZ KALEM,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,63.58,181,2304.05
1453 FETIH / MOLA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,27.89,210,4924.39
1475 FABER PILOT KALEM VISION,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,9.89,214,6813.06
1475 FABER PILOT KALEM VISION,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,17.67,186,6521.30
1475 FABER PILOT KALEM VISION,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,56.45,202,6310.10
150 JUMBO DARKNESS SAKLAMA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,10.03,217,6361.30
150 JUMBO NISA SAKLAMA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,48.29,220,5061.02
151 SANAL NISA SAKLAMA KABI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,64.66,232,6122.65
15216 SPIDERMAN OKUL CANTASI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,19.84,126,26553.20
154 TERMOS DARKNESS MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,71.34,170,4038.78
160 YAPRAK 3+1 AYRACLI DEFTER,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,34.04,162,2478.34
16677 FATIH KURSUN KALEM GRANDPRIX ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,156.95,213,1710.77
179 ARK CETVEL MERCEKLI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,13.13,212,2238.67
17X24 RESİM DEFTERİ TELLİ,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,50.08,190,1570.80
17X24 SERT KAPAK DEFTER 200 YAPRAK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,48.25,163,9794.32
17X24 SERT KAPAK DEFTER 300 YAPRAK,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,5.79,149,8874.16
182 CAMLI TERMOSLU DARKNESS MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,30.67,178,4381.59
182 CAMLI TERMOSLU NISA MATARA,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,13.39,154,3531.17
2 BÖLMELİ MİNİ SAKLAMA KABI,KIRTASIYELER,EV,KITAP-DERGI-KIRTASIYE,KIRTASIYE,KIRTASIYE GERECLERI,3.40,184,3321.26
2. FETHIN SIFRESI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,70.02,161,1786.58
2.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,6.65,170,2984.79
