City,TotalPay
İstanbul,13290454.33
Ankara,7679075.58
İzmir,5753189.33
Bursa,4216060.15
Antalya,3341684.94
Konya,3110480.77
Adana,2896229.21
Gaziantep,2890950.78
Şanlıurfa,2876885.26
Kocaeli,2524538.75
Mersin,2484758.17
Diyarbakır,2364754.18
Hatay,2254106.26
Manisa,2007779.79
Samsun,1932773.24
Kayseri,1927275.77
Balıkesir,1688569.78
Kahramanmaraş,1630144.83
Aydın,1572911.72
Tekirdağ,1559022.73
Van,1533077.10
Denizli,1434456.51
Muğla,1433584.98
Sakarya,1366861.06
Eskişehir,1199371.91
Ordu,1107701.94
Malatya,1092974.24
Mardin,1083330.86
Erzurum,1055707.53
Trabzon,1052421.64
Afyonkarahisar,1030755.38
Kütahya,907669.85
Elazığ,894441.39
Tokat,887045.77
Sivas,831497.14
Adıyaman,816356.35
Zonguldak,811748.76
Çanakkale,767320.85
Batman,752185.14
Ağrı,737783.72
Osmaniye,734006.57
Çorum,693526.46
Giresun,668301.14
Şırnak,659623.00
Yozgat,605978.31
Isparta,571321.78
Uşak,527958.28
Aksaray,515500.10
Düzce,509151.39
Edirne,500937.49
Siirt,497639.96
Kastamonu,495480.23
Muş,494273.37
Rize,492584.22
Amasya,479855.98
Niğde,474627.19
Kırklareli,439794.45
Bolu,439481.07
Bitlis,429892.60
Erzincan,422788.29
Hakkari,392280.18
Nevşehir,383794.23
Kırıkkale,383589.75
Yalova,381529.30
Kars,372669.64
Burdur,358736.04
Bingöl,346139.74
Kırşehir,320029.21
Karabük,317247.20
Karaman,312995.41
Iğdır,283317.86
Sinop,274653.66
Bilecik,266174.12
Bartın,264308.89
Çankırı,262818.37
Artvin,234422.87
Kilis,198818.05
Gümüşhane,181767.09
Ardahan,133711.84
Tunceli,109931.87
Bayburt,90653.60
