Date,Month,Year,Total
1,1,2021,64738.93
2,1,2021,62525.91
3,1,2021,62358.21
4,1,2021,75953.67
5,1,2021,69250.72
6,1,2021,70872.71
7,1,2021,64025.48
8,1,2021,62439.79
9,1,2021,58479.16
10,1,2021,61991.19
11,1,2021,75830.56
12,1,2021,70171.14
13,1,2021,68788.43
14,1,2021,72253.53
15,1,2021,61230.98
16,1,2021,56779.66
17,1,2021,65070.04
18,1,2021,69172.91
19,1,2021,56867.40
20,1,2021,63175.27
21,1,2021,75345.97
22,1,2021,63514.15
23,1,2021,70631.73
24,1,2021,67931.49
25,1,2021,65891.92
26,1,2021,62968.50
27,1,2021,73003.94
28,1,2021,90593.42
29,1,2021,72983.73
30,1,2021,50720.37
31,1,2021,60431.28
1,2,2021,63409.30
2,2,2021,77838.34
3,2,2021,61237.50
4,2,2021,76650.04
5,2,2021,51733.92
6,2,2021,66399.80
7,2,2021,64704.60
8,2,2021,64456.92
9,2,2021,59552.61
10,2,2021,76044.33
11,2,2021,48206.22
12,2,2021,67237.56
13,2,2021,69515.75
14,2,2021,62323.08
15,2,2021,67003.18
16,2,2021,61573.71
17,2,2021,61379.02
18,2,2021,67196.85
19,2,2021,72171.20
20,2,2021,66759.69
21,2,2021,61501.18
22,2,2021,59392.40
23,2,2021,63107.44
24,2,2021,64717.87
25,2,2021,69994.89
26,2,2021,73168.83
27,2,2021,65642.52
28,2,2021,72466.93
1,3,2021,73718.60
2,3,2021,68599.63
3,3,2021,70647.09
4,3,2021,74526.00
5,3,2021,73262.76
6,3,2021,81389.25
7,3,2021,91237.89
8,3,2021,69019.72
9,3,2021,68126.65
10,3,2021,62694.79
11,3,2021,74896.19
12,3,2021,64986.80
13,3,2021,62837.18
14,3,2021,79639.85
15,3,2021,69580.25
16,3,2021,69430.58
17,3,2021,71582.57
18,3,2021,66645.04
19,3,2021,67803.87
20,3,2021,68642.63
21,3,2021,75944.38
22,3,2021,66169.29
23,3,2021,80740.35
24,3,2021,71730.54
25,3,2021,86146.93
26,3,2021,72475.88
27,3,2021,73639.00
28,3,2021,86428.12
29,3,2021,80689.27
30,3,2021,56756.98
31,3,2021,67836.50
1,4,2021,69701.13
2,4,2021,62588.61
3,4,2021,58855.55
4,4,2021,72101.22
5,4,2021,72927.59
6,4,2021,54395.03
7,4,2021,60935.27
8,4,2021,90963.80
9,4,2021,71087.53
10,4,2021,80257.62
11,4,2021,61742.23
12,4,2021,61384.78
13,4,2021,61819.04
14,4,2021,62618.32
15,4,2021,71372.48
16,4,2021,79147.67
17,4,2021,60930.55
18,4,2021,79735.08
19,4,2021,99570.19
20,4,2021,86426.06
21,4,2021,76930.55
22,4,2021,79390.34
23,4,2021,63807.68
24,4,2021,87439.58
25,4,2021,69197.89
26,4,2021,78520.96
27,4,2021,89658.37
28,4,2021,71392.89
29,4,2021,74863.75
30,4,2021,105070.64
1,5,2021,71197.80
2,5,2021,97994.57
3,5,2021,81696.55
4,5,2021,83855.49
5,5,2021,68536.28
6,5,2021,80192.52
7,5,2021,74697.62
8,5,2021,84442.15
9,5,2021,94664.77
10,5,2021,88649.55
11,5,2021,74887.81
12,5,2021,68915.87
13,5,2021,110492.21
14,5,2021,71795.24
15,5,2021,73578.44
16,5,2021,79319.51
17,5,2021,79232.75
18,5,2021,83155.54
19,5,2021,76401.20
20,5,2021,73636.17
21,5,2021,84733.77
22,5,2021,63893.91
23,5,2021,74473.24
24,5,2021,72182.61
25,5,2021,83599.15
26,5,2021,75827.29
27,5,2021,99166.07
28,5,2021,74428.40
29,5,2021,80868.19
30,5,2021,75367.06
31,5,2021,69828.84
1,6,2021,65094.22
2,6,2021,76305.66
3,6,2021,70294.88
4,6,2021,70352.65
5,6,2021,83480.60
6,6,2021,103650.39
7,6,2021,75559.14
8,6,2021,85115.46
9,6,2021,150978.87
10,6,2021,87125.03
11,6,2021,70604.33
12,6,2021,89149.88
13,6,2021,87028.58
14,6,2021,91194.48
15,6,2021,79433.54
16,6,2021,91181.71
17,6,2021,73236.30
18,6,2021,74603.14
19,6,2021,107740.62
20,6,2021,66529.00
21,6,2021,76774.73
22,6,2021,83029.98
23,6,2021,81576.94
24,6,2021,100458.98
25,6,2021,71054.86
26,6,2021,81154.04
27,6,2021,83467.06
28,6,2021,85510.64
29,6,2021,69462.14
30,6,2021,95622.52
1,7,2021,100941.86
2,7,2021,89216.26
3,7,2021,79023.30
4,7,2021,91497.12
5,7,2021,77099.16
6,7,2021,84697.70
7,7,2021,71990.45
8,7,2021,61710.59
9,7,2021,71394.50
10,7,2021,82790.84
11,7,2021,90360.17
12,7,2021,79137.34
13,7,2021,74147.33
14,7,2021,93739.86
15,7,2021,76777.87
16,7,2021,96244.04
17,7,2021,79659.26
18,7,2021,83331.47
19,7,2021,88355.85
20,7,2021,77976.53
21,7,2021,86563.02
22,7,2021,72872.22
23,7,2021,79351.90
24,7,2021,73313.41
25,7,2021,92837.88
26,7,2021,79861.26
27,7,2021,71578.90
28,7,2021,59549.25
29,7,2021,104211.07
30,7,2021,73068.50
31,7,2021,93952.67
1,8,2021,95409.39
2,8,2021,92470.79
3,8,2021,88695.18
4,8,2021,86966.15
5,8,2021,72792.51
6,8,2021,81954.63
7,8,2021,104141.44
8,8,2021,76597.00
9,8,2021,80783.80
10,8,2021,94919.67
11,8,2021,84213.77
12,8,2021,94461.85
13,8,2021,89237.82
14,8,2021,88533.33
15,8,2021,81466.91
16,8,2021,95146.91
17,8,2021,84170.41
18,8,2021,70032.35
19,8,2021,83068.57
20,8,2021,107085.66
21,8,2021,76732.74
22,8,2021,89441.91
23,8,2021,96786.65
24,8,2021,87742.27
25,8,2021,76268.50
26,8,2021,95261.02
27,8,2021,64860.42
28,8,2021,91933.85
29,8,2021,77501.80
30,8,2021,78599.94
31,8,2021,70548.72
1,9,2021,105774.40
2,9,2021,96005.41
3,9,2021,73588.73
4,9,2021,89641.39
5,9,2021,98917.32
6,9,2021,77239.30
7,9,2021,69760.46
8,9,2021,84959.82
9,9,2021,92683.04
10,9,2021,75371.12
11,9,2021,96380.44
12,9,2021,88582.06
13,9,2021,82543.44
14,9,2021,94694.95
15,9,2021,84232.46
16,9,2021,81707.78
17,9,2021,84034.66
18,9,2021,96227.77
19,9,2021,84959.96
20,9,2021,90560.47
21,9,2021,80536.00
22,9,2021,83993.31
23,9,2021,98976.56
24,9,2021,75694.33
25,9,2021,81963.34
26,9,2021,87394.21
27,9,2021,80305.78
28,9,2021,87666.41
29,9,2021,100509.20
30,9,2021,96863.39
1,10,2021,73818.68
2,10,2021,121372.87
3,10,2021,103149.92
4,10,2021,95962.29
5,10,2021,114742.38
6,10,2021,80714.66
7,10,2021,95156.38
8,10,2021,93427.64
9,10,2021,80775.29
10,10,2021,88221.60
11,10,2021,79150.40
12,10,2021,81388.46
13,10,2021,82715.92
14,10,2021,75970.99
15,10,2021,104728.77
16,10,2021,104599.31
17,10,2021,80894.64
18,10,2021,90938.25
19,10,2021,84256.56
20,10,2021,101395.33
21,10,2021,87465.54
22,10,2021,94085.29
23,10,2021,89915.56
24,10,2021,76813.04
25,10,2021,98497.29
26,10,2021,93366.96
27,10,2021,96995.03
28,10,2021,80610.04
29,10,2021,91268.94
30,10,2021,69268.25
31,10,2021,77817.88
1,11,2021,86783.33
2,11,2021,89422.09
3,11,2021,92666.23
4,11,2021,104673.78
5,11,2021,90338.14
6,11,2021,77749.85
7,11,2021,99803.17
8,11,2021,82308.39
9,11,2021,78824.64
10,11,2021,87179.31
11,11,2021,97874.79
12,11,2021,86677.76
13,11,2021,92496.31
14,11,2021,101647.12
15,11,2021,86144.81
16,11,2021,81740.01
17,11,2021,87661.95
18,11,2021,87556.95
19,11,2021,123894.79
20,11,2021,90226.53
21,11,2021,128692.78
22,11,2021,83522.88
23,11,2021,92522.51
24,11,2021,101144.07
25,11,2021,92373.02
26,11,2021,113418.60
27,11,2021,84068.97
28,11,2021,90971.13
29,11,2021,91856.33
30,11,2021,90843.94
1,12,2021,99147.72
2,12,2021,93897.05
3,12,2021,90318.66
4,12,2021,101911.94
5,12,2021,112025.62
6,12,2021,79011.54
7,12,2021,88755.73
8,12,2021,84565.12
9,12,2021,85357.65
10,12,2021,87342.69
11,12,2021,83525.83
12,12,2021,120640.41
13,12,2021,82141.65
14,12,2021,83981.82
15,12,2021,102985.55
16,12,2021,83934.95
17,12,2021,100325.20
18,12,2021,85144.49
19,12,2021,101034.84
20,12,2021,90033.31
21,12,2021,98523.09
22,12,2021,99812.64
23,12,2021,107192.59
24,12,2021,97684.06
25,12,2021,74487.68
26,12,2021,103642.17
27,12,2021,88064.36
28,12,2021,137136.17
29,12,2021,101720.86
30,12,2021,97315.13
31,12,2021,95273.80
1,1,2022,92681.08
2,1,2022,113417.32
3,1,2022,102027.29
4,1,2022,154832.54
5,1,2022,110481.81
6,1,2022,102197.54
7,1,2022,90418.76
8,1,2022,98756.17
9,1,2022,118063.25
10,1,2022,80267.30
11,1,2022,124216.29
12,1,2022,95296.15
13,1,2022,107340.86
14,1,2022,110692.76
15,1,2022,107865.94
16,1,2022,94345.61
17,1,2022,87837.77
18,1,2022,106613.21
19,1,2022,95852.19
20,1,2022,119138.68
21,1,2022,101371.00
22,1,2022,116679.39
23,1,2022,101051.64
24,1,2022,106681.17
25,1,2022,127538.50
26,1,2022,104539.02
27,1,2022,115677.11
28,1,2022,95665.13
29,1,2022,111758.25
30,1,2022,104650.43
31,1,2022,120832.49
1,2,2022,119145.01
2,2,2022,110779.63
3,2,2022,106493.22
4,2,2022,119524.59
5,2,2022,106326.88
6,2,2022,126920.66
7,2,2022,109694.21
8,2,2022,123470.27
9,2,2022,93677.99
10,2,2022,103546.08
11,2,2022,100082.38
12,2,2022,88919.57
13,2,2022,116786.19
14,2,2022,131182.11
15,2,2022,83074.35
16,2,2022,95628.10
17,2,2022,127655.81
18,2,2022,95454.18
19,2,2022,105831.27
20,2,2022,130514.43
21,2,2022,106428.16
22,2,2022,96102.95
23,2,2022,138981.29
24,2,2022,121270.98
25,2,2022,100633.32
26,2,2022,114792.68
27,2,2022,108143.76
28,2,2022,124547.66
1,3,2022,124573.98
2,3,2022,99167.57
3,3,2022,112451.66
4,3,2022,126922.07
5,3,2022,106787.10
6,3,2022,104320.82
7,3,2022,110239.14
8,3,2022,99869.83
9,3,2022,93433.46
10,3,2022,114427.20
11,3,2022,120533.05
12,3,2022,128092.37
13,3,2022,111354.90
14,3,2022,127137.17
15,3,2022,123465.69
16,3,2022,130641.34
17,3,2022,114683.05
18,3,2022,117721.91
19,3,2022,111551.35
20,3,2022,120312.66
21,3,2022,108181.05
22,3,2022,114814.67
23,3,2022,129062.59
24,3,2022,101790.05
25,3,2022,116147.11
26,3,2022,102283.68
27,3,2022,121894.11
28,3,2022,113774.83
29,3,2022,108613.16
30,3,2022,128859.41
31,3,2022,133684.03
1,4,2022,117573.62
2,4,2022,96668.76
3,4,2022,111621.19
4,4,2022,119153.77
5,4,2022,132496.45
6,4,2022,128680.03
7,4,2022,80749.31
8,4,2022,113094.91
9,4,2022,114194.27
10,4,2022,122999.45
11,4,2022,115491.46
12,4,2022,114054.89
13,4,2022,109282.76
14,4,2022,120805.59
15,4,2022,122670.71
16,4,2022,137265.72
17,4,2022,123136.16
18,4,2022,114330.65
19,4,2022,114083.01
20,4,2022,113483.49
21,4,2022,116331.39
22,4,2022,112715.76
23,4,2022,99584.42
24,4,2022,106224.57
25,4,2022,120858.86
26,4,2022,102074.35
27,4,2022,118182.64
28,4,2022,101354.54
29,4,2022,129280.44
30,4,2022,107138.68
1,5,2022,127759.03
2,5,2022,108581.47
3,5,2022,130211.97
4,5,2022,116809.83
5,5,2022,141785.43
6,5,2022,113003.36
7,5,2022,114495.67
8,5,2022,121294.68
