Month,Year,MY,Total
1,2021,1/2021,2065992.19
2,2021,2/2021,1835385.68
3,2021,3/2021,2247824.58
4,2021,4/2021,2214832.40
5,2021,5/2021,2471710.57
6,2021,6/2021,2526770.37
7,2021,7/2021,2537251.58
8,2021,8/2021,2657825.96
9,2021,9/2021,2621767.51
10,2021,10/2021,2789484.16
11,2021,11/2021,2795084.18
12,2021,12/2021,2956934.32
1,2022,1/2022,3318786.65
2,2022,2/2022,3105607.73
3,2022,3/2022,3576791.01
4,2022,4/2022,3435581.85
5,2022,5/2022,3735666.01
6,2022,6/2022,3627144.65
7,2022,7/2022,3910199.63
8,2022,8/2022,3921507.79
9,2022,9/2022,3956970.30
10,2022,10/2022,4064131.00
11,2022,11/2022,4188469.72
12,2022,12/2022,4330168.47
1,2023,1/2023,3927395.15
2,2023,2/2023,3748912.32
3,2023,3/2023,4232790.60
4,2023,4/2023,4039607.12
5,2023,5/2023,4210865.86
6,2023,6/2023,4362641.82
7,2023,7/2023,4104451.18
8,2023,8/2023,1801696.13
