Itemname,Brand,Category1,Category2,Category3,Category4,Price,SoldQuantity,TotalAmount
"""BINGO DINAMIC B.MAK.TAB.8 IN 1 30 LU *5*",BINGO,DETERJAN,BULASIK YIKAMA,BULASIK MAKINASI URUNLERI,TABLET,33.59,4,134.36
"""CANTA BOY KURAN I  KERIM",KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,50.73,120,4653.76
..ACE GENTILE SIHIRLI RENK.1 KG *10*,ACE,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,4.84,6,29.04
1.SINIF OKUMA KITAPLARI-10 KITAP ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,10.53,197,1665.16
100 % KENDINIZ OLUN / CEP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,18.94,167,2536.03
100 OSMANLI BUYUGU ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,43.07,166,6012.88
100 TEMEL ESER OZETLERI  / PANAMA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,40.34,137,4418.26
100 TEMEL ESER OZETLERI/ LIYA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,62.99,177,5527.22
13. KABILENIN SIRRI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,85.09,196,5222.89
1453 FETIH / MOLA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,27.89,210,4924.39
2. FETHIN SIFRESI,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,70.02,161,1786.58
2.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,6.65,170,2984.79
20 CANT MIRADO BISIKLET,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,365.53,8,2924.24
2012 KPSS GY-GK KON.ANL.CEP BOY,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,41.88,186,2852.33
21 CM KALPLI AYILAR ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,74.40,4,297.60
250 ZEKA OYUNU,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,37.74,190,5023.09
3.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,41.47,161,2399.60
30 GUNDE MUKEMMEL CILT,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,42.02,218,5691.01
365 GUN DUA ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,87.36,161,5172.07
365 GUNDE GUZEL AHLAK,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,112.45,232,8643.50
4.SINIF OKUMA KITAPLARI - 10 KITAP,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,84.17,138,3409.50
40 CM AYILAR,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,66.87,5,334.35
41 YASIN BILGISAYAR HATLI TURKCE OKUNUSLU RAHLE BOY,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,112.32,160,5680.24
41 YASIN CAMI BOY/AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,43.24,195,6712.88
41 YASIN HAFIZ BOY / BKM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,9.80,173,1842.56
41 YASIN ORTA BOY/AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,37.52,176,4682.77
41 YASIN RAHLE BOY / AYFA,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,21.37,105,3074.47
5-6-2 TAMAM DEGIL REIS BEN DE VARIM,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,121.26,233,9297.48
50 CM NAKISLI KALP YASTIK  ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,174.59,1,174.59
6 ADIMDA ISTEDIGIN HER SEYI ELDE ET,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,68.28,180,4441.21
6.HIS,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,70.41,160,5720.80
60 SANIYELIK LIDER,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,9.72,186,4095.37
65 CM TISORTLU AYI  ,OYUNCAK,OYUNCAK,ZEKA GELISTIRICI,OYUNCAKLAR,BEBE OYUNCAK,307.72,8,2461.76
80 GUNDE DUNYA TURU / RESIMLI KLASIKLER,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,30.49,209,8868.49
8X4 ROLL-ON PINK FRESH 50 ML,8X4,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,71.11,8,568.88
8X4 SPREY MODERN CHARME 150ML KDN ,8X4,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,68.88,1,68.88
8X4 SPREY SOFT KISS 150ML KDN ,8X4,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,101.38,3,304.14
8x4 SPREY OCEAN FRESH 150ML KDN ,8X4,KOZMETIK,PARFUM-DEODORANT,DEODORANTLAR,DEO,114.73,1,114.73
A'DAN Z'YE POZITIF COCUKLAR YETISTIRME ,KITAPLAR,EV,KITAP-DERGI-KIRTASIYE,KITAP,KITAPLAR,119.41,163,10050.62
A.AVIEN OJE 107,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,6.01,6,36.06
A.AVIEN OJE 122,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,7.09,7,49.63
A.AVIEN OJE 136,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,16.54,2,33.08
A.AVIEN OJE 220,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,6.64,1,6.64
A.AVIEN OJE 228,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,8.08,8,64.64
A.AVIEN OJE 258,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,5.30,6,31.80
A.AVIEN OJE 271,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,13.01,3,39.03
A.AVIEN OJE 274,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,6.32,5,31.60
A.AVIEN OJE 278,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,9.44,4,37.76
A.AVIEN OJE 28,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,6.28,4,25.12
A.AVIEN OJE 289,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,6.41,3,19.23
A.AVIEN OJE 296,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,8.72,5,41.40
A.AVIEN OJE 65,AVIEN,KOZMETIK,MAKYAJ,MAKYAJ MALZEMELERI,OJE,10.47,6,62.82
ABC  ELDE YIK.1800 GR LAVANTA *8*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,63.34,4,253.36
ABC ARAP SABUNU PARF.750 GR *16*,ABC,DETERJAN,EV TEMIZLEYICILER,YUZEY TEMIZLEYICILER,ARAP SABUNU,55.01,3,165.03
ABC CAM TEM. 750+750 ML *6*,ABC,DETERJAN,EV TEMIZLEYICILER,CAM TEMIZLEYICILER,SISTEM,11.89,7,83.23
ABC JEL BUL.DET.2250 GR*4*,ABC,DETERJAN,BULASIK YIKAMA,BULASIK MAKINASI URUNLERI,JEL,32.78,2,65.56
ABC KONS.YUM.BOTANICS NISAN Y.1440 ML *9*,ABC,DETERJAN,CAMASIR YIKAMA,CAMASIR YUMUSATICILAR,KONSANTRE,80.98,7,566.86
ABC MATIK 10 KG  *1*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,RENKLILER,219.37,1,219.37
ABC MATIK 2.5 KG GUL TUTKUSU *6*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,31.42,3,94.26
ABC MATIK 5 KG DAG FERAHLIGI *4*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,64.68,1,64.68
ABC MATIK 5 KG GUL TUTKUSU *4*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,31.75,10,597.40
ABC MATIK 6 KG LAVANTA TAZELIGI *1*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,150.98,1,150.98
ABC MATIK 9 KG DAG FERA.*1*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,270.81,1,270.81
ABC MATIK 9 KG GUL TUTK.*1*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,171.84,1,171.84
ABC MATIK 9 KG LAV.TAZ.*1*,ABC,DETERJAN,CAMASIR YIKAMA,TOZ DETERJANLAR,NORMAL,255.12,12,2528.95
ABC PARF.KONS.YUM.TUTKULU DAHLIA 1440 ML *9*,ABC,DETERJAN,CAMASIR YIKAMA,CAMASIR YUMUSATICILAR,KONSANTRE,49.53,1,49.53
ABC SIVI BULASIK DET.POWER 4 KG *4*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,93.29,4,336.14
ABC SIVI DET. 3 LT RENKLILER *6*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,45.94,4,183.76
ABC SIVI DET.+YUM.2+1 DAG FER. 2228 ML*6*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,208.65,8,1669.20
ABC SIVI DET.+YUM.2+1 GUL TUT. 2228 ML*6*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,151.43,1,151.43
ABC SIVI DET.+YUM.2+1 LAV.TAZE.2228 ML*6*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,SIVI,90.20,5,451.00
ABC SIVI DET.JEL PLUS 2145 ML BAH.FRH.*6*,ABC,DETERJAN,ELDE YIKAMA URUNLERI,SIVI DETERJAN,JEL,108.91,6,653.46
