Date,Month,Year,Total
1,1,2021,16152.86
2,1,2021,14446.77
3,1,2021,18080.22
4,1,2021,16966.61
5,1,2021,19964.43
6,1,2021,14113.95
7,1,2021,19364.61
8,1,2021,15002.66
9,1,2021,16451.76
10,1,2021,17783.47
11,1,2021,17715.20
12,1,2021,13877.85
13,1,2021,15196.09
14,1,2021,22050.12
15,1,2021,11261.97
16,1,2021,12069.93
17,1,2021,15721.01
18,1,2021,16854.46
19,1,2021,19341.55
20,1,2021,15308.63
21,1,2021,18829.42
22,1,2021,13208.21
23,1,2021,18493.13
24,1,2021,18455.76
25,1,2021,17871.05
26,1,2021,15912.98
27,1,2021,15650.46
28,1,2021,17151.60
29,1,2021,15197.02
30,1,2021,12544.25
31,1,2021,14040.76
1,2,2021,16042.13
2,2,2021,18584.32
3,2,2021,16193.91
4,2,2021,17994.26
5,2,2021,13428.92
6,2,2021,18784.14
7,2,2021,12808.68
8,2,2021,17443.11
9,2,2021,12370.79
10,2,2021,16337.29
11,2,2021,13609.72
12,2,2021,22089.93
13,2,2021,15004.84
14,2,2021,13395.72
15,2,2021,15548.78
16,2,2021,15159.12
17,2,2021,15166.38
18,2,2021,15280.03
19,2,2021,18139.28
20,2,2021,13793.31
21,2,2021,13356.17
22,2,2021,14474.29
23,2,2021,9935.60
24,2,2021,13442.31
25,2,2021,13445.29
26,2,2021,22781.40
27,2,2021,17260.32
28,2,2021,18904.13
1,3,2021,16613.82
2,3,2021,15255.86
3,3,2021,19226.07
4,3,2021,24371.88
5,3,2021,11963.62
6,3,2021,18732.08
7,3,2021,20305.31
8,3,2021,16151.89
9,3,2021,19116.24
10,3,2021,13050.87
11,3,2021,17395.62
12,3,2021,15520.04
13,3,2021,17809.72
14,3,2021,19674.70
15,3,2021,19937.51
16,3,2021,14697.89
17,3,2021,16888.51
18,3,2021,17732.43
19,3,2021,15326.14
20,3,2021,15638.82
21,3,2021,23044.10
22,3,2021,22468.82
23,3,2021,20574.58
24,3,2021,21487.78
25,3,2021,23733.54
26,3,2021,18951.06
27,3,2021,19972.36
28,3,2021,21127.74
29,3,2021,19521.24
30,3,2021,11903.06
31,3,2021,14787.89
1,4,2021,18630.54
2,4,2021,16983.41
3,4,2021,10277.51
4,4,2021,18562.25
5,4,2021,15141.24
6,4,2021,14327.72
7,4,2021,15428.26
8,4,2021,23678.91
9,4,2021,15582.27
10,4,2021,17750.59
11,4,2021,16892.27
12,4,2021,16980.50
13,4,2021,16300.75
14,4,2021,12502.70
15,4,2021,16343.08
16,4,2021,14784.91
17,4,2021,13988.12
18,4,2021,18780.67
19,4,2021,41182.92
20,4,2021,19956.48
21,4,2021,19507.51
22,4,2021,18744.93
23,4,2021,13868.43
24,4,2021,13502.93
25,4,2021,16321.69
26,4,2021,17656.65
27,4,2021,18509.35
28,4,2021,18558.41
29,4,2021,17835.39
30,4,2021,19719.87
1,5,2021,24212.14
2,5,2021,25071.09
3,5,2021,18472.52
4,5,2021,26593.33
5,5,2021,18345.11
6,5,2021,24474.68
7,5,2021,14457.65
8,5,2021,22627.93
9,5,2021,18412.72
10,5,2021,19229.10
11,5,2021,19790.96
12,5,2021,16354.77
13,5,2021,22466.16
14,5,2021,17391.74
15,5,2021,12747.48
16,5,2021,21566.62
17,5,2021,18617.21
18,5,2021,25726.19
19,5,2021,19986.25
20,5,2021,12183.87
21,5,2021,21128.77
22,5,2021,15387.43
23,5,2021,19663.89
24,5,2021,18133.58
25,5,2021,20185.80
26,5,2021,20436.40
27,5,2021,25676.61
28,5,2021,15720.70
29,5,2021,19816.79
30,5,2021,17653.35
31,5,2021,15082.77
1,6,2021,12652.56
2,6,2021,19293.96
3,6,2021,15227.90
4,6,2021,17438.15
5,6,2021,18111.91
6,6,2021,21017.70
7,6,2021,18233.83
8,6,2021,19284.12
9,6,2021,24919.56
10,6,2021,18456.86
11,6,2021,12288.73
12,6,2021,20846.99
13,6,2021,27240.29
14,6,2021,21722.47
15,6,2021,16145.60
16,6,2021,20261.15
17,6,2021,21939.22
18,6,2021,14626.69
19,6,2021,23731.31
20,6,2021,14994.34
21,6,2021,23083.06
22,6,2021,23761.19
23,6,2021,20666.88
24,6,2021,23958.19
25,6,2021,16972.65
26,6,2021,20020.02
27,6,2021,20620.92
28,6,2021,21619.99
29,6,2021,19776.05
30,6,2021,19779.67
1,7,2021,15208.14
2,7,2021,19580.97
3,7,2021,20211.56
4,7,2021,21238.99
5,7,2021,16400.62
6,7,2021,29132.30
7,7,2021,14094.80
8,7,2021,16725.68
9,7,2021,22020.87
10,7,2021,20715.21
11,7,2021,17237.18
12,7,2021,19894.45
13,7,2021,17106.83
14,7,2021,15153.24
15,7,2021,19068.16
16,7,2021,19377.00
17,7,2021,18013.99
18,7,2021,19461.22
19,7,2021,19024.07
20,7,2021,19126.38
21,7,2021,17251.36
22,7,2021,18235.06
23,7,2021,17099.95
24,7,2021,17847.18
25,7,2021,24058.86
26,7,2021,20969.89
27,7,2021,19183.13
28,7,2021,14815.14
29,7,2021,24088.79
30,7,2021,17706.02
31,7,2021,27894.56
1,8,2021,18405.71
2,8,2021,24064.48
3,8,2021,25792.34
4,8,2021,18023.07
5,8,2021,17862.01
6,8,2021,19531.99
7,8,2021,24287.45
8,8,2021,23089.74
9,8,2021,23765.98
10,8,2021,26416.02
11,8,2021,22166.16
12,8,2021,23898.51
13,8,2021,21193.63
14,8,2021,22569.31
15,8,2021,19418.16
16,8,2021,19827.70
17,8,2021,24586.07
18,8,2021,19596.42
19,8,2021,17810.51
20,8,2021,22140.02
21,8,2021,16393.27
22,8,2021,22973.50
23,8,2021,20664.10
24,8,2021,24029.13
25,8,2021,21385.85
26,8,2021,17095.85
27,8,2021,17873.26
28,8,2021,22322.28
29,8,2021,21817.28
30,8,2021,17145.69
31,8,2021,18957.86
1,9,2021,24568.31
2,9,2021,24635.62
3,9,2021,18401.20
4,9,2021,22718.25
5,9,2021,20833.41
6,9,2021,12370.42
7,9,2021,12970.44
8,9,2021,17836.05
9,9,2021,17408.91
10,9,2021,20045.55
11,9,2021,25954.95
12,9,2021,19436.39
13,9,2021,17749.90
14,9,2021,19876.66
15,9,2021,17895.91
16,9,2021,21516.78
17,9,2021,18428.81
18,9,2021,18903.82
19,9,2021,21858.66
20,9,2021,19919.10
21,9,2021,20709.58
22,9,2021,17690.75
23,9,2021,20521.89
24,9,2021,19596.55
25,9,2021,19046.90
26,9,2021,20128.18
27,9,2021,22380.50
28,9,2021,24275.25
29,9,2021,22756.68
30,9,2021,24525.61
1,10,2021,13931.18
2,10,2021,16996.67
3,10,2021,28995.85
4,10,2021,24602.62
5,10,2021,26139.19
6,10,2021,19895.41
7,10,2021,21193.34
8,10,2021,38649.65
9,10,2021,20199.11
10,10,2021,20154.75
11,10,2021,15519.40
12,10,2021,20597.26
13,10,2021,15908.56
14,10,2021,19726.50
15,10,2021,20876.15
16,10,2021,27330.29
17,10,2021,18795.42
18,10,2021,18015.89
19,10,2021,15512.46
20,10,2021,25475.24
21,10,2021,21047.24
22,10,2021,23555.49
23,10,2021,20999.72
24,10,2021,18728.75
25,10,2021,24110.19
26,10,2021,22718.62
27,10,2021,20555.13
28,10,2021,22963.11
29,10,2021,21233.23
30,10,2021,14208.76
31,10,2021,23849.86
1,11,2021,23220.18
2,11,2021,25808.79
3,11,2021,17070.16
4,11,2021,22944.75
5,11,2021,18914.41
6,11,2021,16587.82
7,11,2021,20543.78
8,11,2021,20096.11
9,11,2021,18654.64
10,11,2021,18220.66
11,11,2021,25918.48
12,11,2021,18153.67
13,11,2021,25757.07
14,11,2021,19320.12
15,11,2021,20307.94
16,11,2021,16438.35
17,11,2021,14271.20
18,11,2021,21845.59
19,11,2021,21205.99
20,11,2021,23766.33
21,11,2021,25996.87
22,11,2021,17058.02
23,11,2021,22155.93
24,11,2021,19751.79
25,11,2021,22792.37
26,11,2021,30044.46
27,11,2021,22795.10
28,11,2021,24461.61
29,11,2021,20548.68
30,11,2021,24041.52
1,12,2021,30450.64
2,12,2021,22636.12
3,12,2021,25039.94
4,12,2021,27061.31
5,12,2021,28030.48
6,12,2021,18700.04
7,12,2021,21686.98
8,12,2021,24448.85
9,12,2021,20039.46
10,12,2021,19457.23
11,12,2021,15224.60
